anio,sexo,via,continente,rango_edad,total
2025,Mujer,Vía terrestre,América,40-59,23704
2025,Hombre,Vía Aérea,Europa,40-59,21414
2025,Hombre,Vía Aérea,Europa,25-39,19620
2025,Hombre,Vía terrestre,América,<25,18947
2025,Mujer,Vía Aérea,Europa,40-59,18665
2025,Mujer,Vía Aérea,Europa,25-39,18078
2025,Mujer,Vía Aérea,Europa,<25,16861
2025,Mujer,Vía terrestre,América,<25,16659
2025,Hombre,Vía Aérea,Europa,<25,15454
2025,Hombre,Vía Aérea,Europa,60+,13203
2025,Mujer,Vía Aérea,Europa,60+,11529
2025,Hombre,Vía terrestre,América,60+,11328
2025,Mujer,Vía terrestre,América,60+,11145
2025,Hombre,Vía Aérea,Asia,25-39,3429
2025,Hombre,Vía Aérea,Asia,40-59,3088
2025,Hombre,Vía terrestre,Europa,25-39,2607
2025,Hombre,Vía Aérea,Asia,<25,2376
2025,Mujer,Vía Aérea,Asia,25-39,2374
2025,Mujer,Vía terrestre,Europa,25-39,2171
2025,Mujer,Vía Aérea,Oceanía,60+,2011
2025,Mujer,Vía Aérea,Asia,40-59,1883
2025,Mujer,Vía Aérea,Asia,<25,1750
2025,Hombre,Vía Aérea,Oceanía,60+,1731
2025,Hombre,Vía Aérea,Asia,60+,1349
2025,Mujer,Vía Aérea,Asia,60+,1284
2025,Mujer,Vía Aérea,Oceanía,25-39,1232
2025,Mujer,Vía Aérea,Oceanía,40-59,1185
2025,Hombre,Vía terrestre,Europa,<25,1166
2025,Hombre,Vía terrestre,Europa,40-59,1137
2025,Mujer,Vía terrestre,Europa,<25,1096
2025,Hombre,Vía Aérea,Oceanía,25-39,1095
2025,Hombre,Vía Aérea,Oceanía,40-59,963
2025,Hombre,Vía terrestre,Europa,60+,745
2025,Hombre,Vía Marítimo,Asia,25-39,624
2025,Mujer,Vía terrestre,Europa,40-59,572
2025,Hombre,Vía Marítimo,Europa,60+,512
2025,Mujer,Vía Aérea,Oceanía,<25,498
2025,Mujer,Vía Marítimo,Europa,60+,423
2025,Hombre,Vía Aérea,Oceanía,<25,406
2025,Hombre,Vía Marítimo,América,60+,395
2025,Mujer,Vía Marítimo,América,60+,359
2025,Mujer,Vía terrestre,Europa,60+,335
2025,Hombre,Vía Marítimo,Asia,40-59,316
2025,Hombre,Vía Marítimo,Europa,25-39,257
2025,Hombre,Vía Marítimo,Europa,40-59,244
